"Strong's"	"Goodrick-Kohlenberger"	"Greek Word"	"English Definition (brief)"	"English Definition (longer)"
"2748"	"3021,3022"	"*kedrw/n, o("	"Kidron"	"Kidron, a valley near Jerusalem."
"2749"	"3023"	"kei=mai"	"I lie, recline, am laid"	"I lie, recline, am placed, am laid, set, specially appointed, destined."
"2750"	"3024"	"keiri/a, as, h("	"a bandage, grave clothes"	"a kind of girdle made of cords; a bandage, grave clothes."
"2751"	"3025"	"kei/rw"	"I shear, cut the hair of"	"I shear, cut the hair of; mid: I cut my own hair, have my hair cut."
"2752"	"3026"	"ke/leusma, atos, to/"	"a word of command, a call"	"a word of command, a call, an arousing outcry."
"2753"	"3027"	"keleu/w"	"I command, order"	"I command, order, direct, bid."
"2754"	"3029"	"kenodoci/a, as, h("	"vainglory, empty pride"	"vainglory, empty pride."
"2755"	"3030"	"keno/docas, on"	"vainglorious"	"vainglorious, boastful."
"2756"	"3031"	"keno/s, h/, o/n"	"empty, vain, hollow"	"(a) empty, (b) met: empty (in moral content), vain, ineffective, foolish, worthless, (c) false, unreal, pretentious, hollow."
"2757"	"2787,3032"	"kenofwni/a, as, h("	"empty disputing, worthless babble"	"empty disputing, worthless babble."
"2758"	"3033"	"keno/w"	"I empty, deprive of content, make unreal"	"(a) I empty, (b) I deprive of content, make unreal."
"2759"	"3034"	"ke/ntron, ou, to/"	"a sting, goad"	"a sting, goad; met: of death."
"2760"	"3035"	"kenturi/wn, w=nos, o("	"a centurion"	"a centurion, an officer commanding about a hundred infantry in the Roman army."
"2761"	"3036"	"kenw=s"	"falsely, in vain"	"falsely, in vain, to no purpose."
"2762"	"3037"	"kerai/a, as, h("	"an apostrophe"	"a little hook, an apostrophe on letters of the alphabet, distinguishing them from other little letters, or a separation stroke between letters."
"2763"	"3038"	"kerameu/s, e/ws, o("	"a potter"	"a potter."
"2764"	"3039"	"keramiko/s, h/, o/n"	"of clay, made by a potter"	"of clay, made by a potter, earthen."
"2765"	"3040"	"kera/mion, ou, to/"	"a pitcher, earthen vessel"	"a pitcher, earthen vessel, jar."
"2766"	"3041"	"ke/ramos, ou, o("	"a tile, the roof"	"a tile; practically: the roof."
"2767"	"3042"	"kera/nnumi"	"I mix, pour out for drinking"	"I mix, mingle, pour out for drinking."
"2768"	"3043"	"ke/ras, atos, to/"	"a horn"	"(a) a horn, (b) a horn-like projection at the corner of an altar, (c) a horn as a symbol of power."
"2769"	"3044"	"kera/tion, ou, to/"	"a husk of the carob"	"a husk (pod) of the carob."
"2770"	"2132,3045"	"kerdai/nw"	"I gain, win, avoid loss"	"I gain, acquire, win (over), avoid loss."
"2771"	"3046"	"ke/rdos, ous, to/"	"gain, advantage"	"gain, advantage, profit."
"2772"	"3047"	"ke/rma, atos, to/"	"a small coin"	"a small coin; plur: small change."
"2773"	"3048"	"kermatisth/s, ou=, o("	"a money-changer"	"properly: a changer of large into smaller coins, a money-changer."
"2774"	"3049"	"kefa/laion, ou, to/"	"the chief matter, a sum of money"	"(a) the chief matter, the main point, (b) a sum of money."
"2775"	"3050,3052"	"kefalaio/w"	"I wound in the head"	"I wound in the head."
"2776"	"3051"	"kefalh/, h=s, h("	"the head"	"(a) the head, (b) met: a corner stone, uniting two walls; head, ruler, lord."
"2777"	"3053"	"kefali/s, i/dos, h("	"a roll, volume"	"(lit: little head, then: the knob at the end of the wooden core of a roll of papyrus, then) a roll, volume, division (of a book)."
"2778"	"2133,3056"	"kh=nsos, ou, o("	"a poll-tax"	"a poll-tax."
"2779"	"3057"	"kh=pos, ou, o("	"a garden"	"a garden, any place planted with trees and herbs."
"2780"	"3058"	"khpouro/s, ou=, o("	"a gardener"	"a gardener, garden-keeper."
"2781"	"3059"	"khri/on, ou, to/"	"a honeycomb"	"a honeycomb."
"2782"	"3060"	"kh/rugma, atos, to/"	"a proclamation, preaching"	"a proclamation, preaching."
"2783"	"3061"	"kh=ruc, ukos, o("	"a herald, preacher"	"a herald, preacher, proclaimer."
"2784"	"3062"	"khru/ssw"	"I proclaim, herald, preach"	"I proclaim, herald, preach."
"2785"	"3063"	"kh=tos, ous, to/"	"a sea monster, huge fish"	"a sea monster, huge sea fish, whale."
"2786"	"3064"	"*khfa=s, a=, o("	"Cephas"	"Cephas (Aramaic for rock), the new name given to Simon Peter, the apostle."
"2787"	"3066"	"kibwto/s, ou=, h("	"an ark"	"(properly: a wooden box, hence) the Ark, in which Noah sailed; the Ark of the Covenant."
"2788"	"3067"	"kiqa/ra, as, h("	"a harp"	"a harp, lyre."
"2789"	"3068"	"kiqari/zw"	"I play on the harp"	"intrans. and trans: I play on the harp, I harp, with acc. of the tune."
"2790"	"3069"	"kiqarw|do/s, ou, o("	"a harpist"	"a harpist, one who sings with harp as accompaniment."
"2791"	"3070,3071"	"*kiliki/a, as, h("	"Cilicia"	"Cilicia, a Roman province between the Taurus range of mountains and the coast in the south-east corner of Asia Minor, linked up with the province of Syria."
"2792"	"3072,3077"	"kina/mwmon, ou, to/"	"cinnamon"	"(a Semitic word) cinnamon."
"2793"	"3073"	"kinduneu/w"	"I am in danger"	"I am in danger or peril."
"2794"	"3074"	"ki/ndunos, ou, o("	"danger, peril, risk"	"danger, peril, risk."
"2795"	"3075"	"kine/w"	"I move, stir, excite"	"I set in motion, move, remove, excite, stir up."
"2796"	"3076"	"ki/nhsis, ews, h("	"a moving, stirring"	"a moving, stirring."
"2797"	"3078"	"*ki/s, o("	"Kish"	"Kish, the father of Saul."
"2798"	"3080"	"kla/dos, ou, o("	"a branch"	"a young tender shoot, then: a branch; met: of descendants."
"2799"	"3081"	"klai/w"	"I weep, weep for, mourn"	"I weep, weep for, mourn, lament."
"2800"	"3082"	"kla/sis, ews, h("	"a breaking"	"a breaking."
"2801"	"3083"	"kla/sma, atos, to/"	"a fragment"	"a fragment, broken piece."
"2802"	"1144,3007,3084,3085"	"*klau=dh, hs, h("	"Cauda, Clauda"	"Cauda, Clauda, an island twenty-three miles south of the western end of Crete."
"2803"	"3086"	"*klaudi/a, as, h("	"Claudia"	"Claudia, a Christian woman in Rome; probably a freedwoman of the imperial household."
"2804"	"3087"	"*klau/dios, ou, o("	"Claudius"	"(a) Claudius, the fourth of the Roman Emperors, Tiberius Claudius Caesar Augustus Germanicus, who ruled A.D. 41-54, (b) Claudius Lysias, a tribune at Jerusalem."
"2805"	"3088"	"klauqmo/s, ou=, o("	"weeping, lamentation"	"weeping, lamentation, crying."
"2806"	"3089"	"kla/w"	"I break"	"I break (in pieces), break bread."
"2807"	"3090"	"klei=s, kleido/s, h("	"a key"	"a key."
"2808"	"3091"	"klei/w"	"I shut, shut up"	"I shut, shut up."
"2809"	"3092"	"kle/mma, atos, to/"	"a theft"	"a theft."
"2810"	"3093"	"*kleopa=s, a=, o("	"Cleopas"	"Cleopas, one of the two companions of the risen Jesus from Jerusalem to Emmaus."
"2811"	"3094"	"kle/os, ous, to/"	"glory, fame, praise"	"glory, fame, praise; rumor, report, credit."
"2812"	"3095"	"kle/pths, ou, o("	"a thief"	"a thief."
"2813"	"3096"	"kle/ptw"	"I steal"	"I steal."
"2814"	"3097"	"klh=ma, atos, to/"	"a branch, shoot"	"a branch, shoot, twig."
"2815"	"3098"	"*klh/mhs, mentos, o("	"Clement"	"Clement, a fellow-worker of Paul in Rome."
"2816"	"3099"	"klhronome/w"	"I inherit, obtain"	"I inherit, obtain (possess) by inheritance, acquire."
"2817"	"3100"	"klhronomi/a, as, h("	"an inheritance"	"an inheritance, an heritage, regularly the gift of God to His chosen people, in the Old Testament: the Promised Land, in NT a possession viewed in one sense as present, in another as future; a share, participation."
"2818"	"3101"	"klhrono/mos, ou, o("	"an heir, inheritor"	"an heir, an inheritor."
"2819"	"3102"	"klh=ros, ou, o("	"a lot, portion"	"(a) a lot, (b) a portion assigned; hence: a portion of the people of God assigned to one's care, a congregation."
"2820"	"3103"	"klhro/w"	"I make a heritage"	"I cast lots, choose by lot, assign by lot, assign a portion, receive a share."
"2821"	"3104"	"klh=sis, ews, h("	"a calling, summons"	"a calling, invitation; in the NT, always of a divine call."
"2822"	"3105"	"klhto/s, h/, o/n"	"called, summoned"	"called, invited, summoned by God to an office or to salvation."
"2823"	"3106"	"kli/banos, ou, o("	"an oven, furnace"	"an oven, furnace."
"2824"	"3107"	"kli/ma, atos, to/"	"a territory"	"a small geographical division, district, or territory."
"2825"	"3108,3109"	"kli/nh, hs, h("	"a couch, bed, mat, bier"	"a couch, bed, portable bed or mat, a couch for reclining at meals, possibly also a bier."
"2826"	"3110"	"klini/dion, ou, to/"	"a couch or litter"	"a couch or litter of a sick person."
"2827"	"3111"	"kli/nw"	"I rest, recline, make to yield"	"trans: I rest, recline; I bend, incline; I cause to give ground, make to yield; intrans: I decline, approach my end."
"2828"	"3112"	"klisi/a, as, h("	"a dining couch, group of diners"	"properly: a dining couch; hence: a group of diners."
"2829"	"3113"	"kloph/, h=s, h("	"thieving, theft"	"thieving, theft."
"2830"	"3114"	"klu/dwn, w=nos, o("	"rough water"	"rough water, a wave, billow, surge."
"2831"	"3115"	"kludwni/zomai"	"I am tossed by waves"	"I am tossed by waves, met: I am tossed to and fro."
"2832"	"3116"	"*klwpa=s, a=, o("	"Clopas"	"Clopas, husband of one Mary, who stood by the cross."
"2833"	"3117"	"knh/qw"	"I rub, tickle"	"I rub, tickle, scratch; pass: I itch."
"2834"	"3118"	"*kni/dos, ou, h("	"Cnidus"	"Cnidus, a town on the coast of Caria (south-west Asia Minor) near the island of Cos."
"2835"	"3119"	"kodra/nths, ou, o("	"the smallest Roman copper coin"	"a ""quadrans,"" the smallest Roman copper coin, a quarter of an ""as,"" the sixteenth part of a ""sesterius""."
"2836"	"3120"	"koili/a, as, h("	"belly, womb, the inner man"	"belly, abdomen, heart, a general term covering any organ in the abdomen, e.g. stomach, womb; met: the inner man."
"2837"	"3121"	"koima/omai"	"I fall asleep, am asleep"	"I fall asleep, am asleep, sometimes of the sleep of death."
"2838"	"3122"	"koi/mhsis, ews, h("	"repose, taking rest"	"repose, taking rest, sleep."
"2839"	"3123"	"koino/s, h/, o/n"	"common, shared, unclean"	"(a) common, shared, (b) Hebraistic use: profane; dirty, unclean, unwashed."
"2840"	"3124"	"koino/w"	"I make unclean, regard as unclean"	"I make unclean, pollute, desecrate, mid: I regard (treat) as unclean."
"2841"	"3125"	"koinwne/w"	"I share, communicate, have fellowship with"	"(a) I share, communicate, contribute, impart, (b) I share in, have a share of, have fellowship with."
"2842"	"3126"	"koinwni/a, as, h("	"participation, communion, fellowship"	"(lit: partnership) (a) contributory help, participation, (b) sharing in, communion, (c) spiritual fellowship, a fellowship in the spirit."
"2843"	"3127"	"koinwniko/s, h/, o/n"	"willing to share"	"willing to share, sociable, ready to communicate, beneficent."
"2844"	"3128"	"koinwno/s, ou=, o(, h("	"a sharer, partner"	"a sharer, partner, companion."
"2845"	"3130"	"koi/th, hs, h("	"a bed, marriage bed"	"(a) a bed, (b) a marriage bed; plur: repeated (immoral) sexual intercourse."
"2846"	"3131"	"koitw/n, w=nos, o("	"a bed-chamber"	"a bed-chamber."
"2847"	"3132"	"ko/kkinos, h, on"	"crimson"	"crimson, scarlet, dyed with Kermes (coccum), the female coccus of the Kermes oak."
"2848"	"3133"	"ko/kkos, ou, o("	"a kernel, grain"	"a kernel, grain, seed."
"2849"	"3134"	"kola/zw"	"I chastise, punish"	"I chastise, curtail, punish; mid: I cause to be punished."
"2850"	"3135"	"kolakei/a, as, h("	"flattery"	"flattery, with a view to advantage or gain."
"2851"	"3136"	"ko/lasis, ews, h("	"chastisement, punishment"	"chastisement, punishment, torment, perhaps with the idea of deprivation."
"2852"	"3139"	"kolafi/zw"	"I strike with the fist, maltreat"	"I strike with the fist, buffet; hence: I mistreat violently."
"2853"	"3140"	"kolla/w"	"I glue, cleave, keep company with"	"(lit: I glue); hence: mid. and pass: I join myself closely, cleave, adhere (to), I keep company (with), of friendly intercourse."
"2854"	"3141"	"kollou/rion, ou, to/"	"eye-salve"	"eye-salve."
"2855"	"3142"	"kollubisth/s, ou, o("	"a money-changer"	"a money-changer, who changed heathen into Jewish money, for payment into the Temple treasury."
"2856"	"3143"	"kolobo/w"	"I cut short, shorten"	"(lit: I maim, mutilate), I cut short, shorten, abbreviate."
"2857"	"3138,3145"	"*kolossai/, h=s, h("	"Colossae"	"Colossae, a town of the Roman province Asia, in the Lycus valley, near Laodicea and Hierapolis."
"2859"	"3146"	"ko/lpos, ou, o("	"bosom, bosom of a garment, a bay, gulf"	"(a) sing. and plur: bosom; (sinus) the overhanging fold of the garment used as a pocket, (b) a bay, gulf."
"2860"	"3147"	"kolumba/w"	"I swim"	"(properly: I dive, hence) I swim."
"2861"	"3148"	"kolumbh/qra, as, h("	"a pool, swimming-place"	"(lit: a diving or swimming place), a pool."
"2862"	"3149"	"kolwni/a, as, h("	"a colony, garrison city"	"a colony, a city settlement of Roman (soldier) citizens; a garrison city."
"2863"	"3150"	"koma/w"	"I wear the hair long"	"I wear the hair long, allow the hair to grow out."
"2864"	"3151"	"ko/mh, hs, h("	"hair, long hair"	"hair, long hair."
"2865"	"3152"	"komi/zw"	"I bring, receive, recover"	"(a) act: I convey, bring, carry, (b) mid: I receive back, receive what has belonged to myself but has been lost, or else promised but kept back, or: I get what has come to be my own by earning, recover."
"2866"	"3153"	"komyo/teron"	"in better health"	"in better health."
"2867"	"3154"	"konia/w"	"I whitewash"	"I whitewash, plaster over."
"2868"	"3155"	"koniorto/s, ou, o("	"dust"	"dust."
"2869"	"3156"	"kopa/zw"	"I cease, drop"	"I abate, cease raging, am stilled."
"2870"	"3157"	"kopeto/s, ou=, o("	"lamentation"	"beating of the breast or head in lamentation, lamentation."
"2871"	"3158"	"koph/, h=s, h("	"slaughter"	"slaughter, smiting in battle."
"2872"	"3159"	"kopia/w"	"I grow weary, toil"	"(a) I grow weary, (b) I toil, work with effort (of bodily and mental labor alike)."
"2873"	"3160"	"ko/pos, ou, o("	"trouble, toil, labor"	"(a) trouble, (b) toil, labor, laborious toil, involving weariness and fatigue."
"2874"	"3161,3162,3163"	"kopri/a, as, h("	"manure"	"manure; a dung-hill."
"2875"	"3164"	"ko/ptw"	"I cut off, mourn"	"(a) I cut, cut off, strike, smite, (b) mid: I beat my breast or head in lamentation, lament, mourn, sometimes with acc. of person whose loss is mourned."
"2876"	"3165"	"ko/rac, o/s, o("	"a raven"	"a raven, crow."
"2877"	"3166"	"kora/sion, ou, to/"	"a girl, little girl"	"a little girl, a young girl; a girl, maiden."
"2878"	"3167,3168"	"korba=n"	"a gift, offering"	"a gift, offering, anything consecrated to God."
"2879"	"3169"	"*kore/, o("	"Korah"	"(Hebrew) Korah."
"2880"	"3170"	"kore/nnumi"	"I fill, feed full"	"I fill, sate, glut, feed full, satisfy."
"2881"	"3171"	"*kori/nqios, ou, o("	"Corinthian"	"Corinthian, of Corinth."
"2882"	"3172"	"*ko/rinqos, ou, h("	"Corinth"	"Corinth, in north-east Peloponnese, the capital of the Roman province Achaia."
"2883"	"3173"	"*kornh/lios, ou, o("	"Cornelius"	"Cornelius, a centurion of the Roman army, stationed at Caesarea."
"2884"	"3174"	"ko/ros, ou, o("	"a dry measure, 120 gallons"	"(Hebrew) a (dry) measure, equivalent to 120 gallons."
"2885"	"3175"	"kosme/w"	"I put into order, adorn"	"I put into order; I decorate, deck, adorn."
"2886"	"3176"	"kosmiko/s, h/, o/n"	"earthly, worldly"	"earthly, worldly (belonging to the present earthly world as opposed to the heavenly and future)."
"2887"	"3177,3178"	"ko/smios, i/a, on"	"orderly, virtuous"	"orderly, virtuous, decent, modest, well-ordered."
"2888"	"3179"	"kosmokra/twr, oros, o("	"ruler of this world"	"ruler of this world, that is, of the world as asserting its independence of God; used of the angelic or demonic powers controlling the sublunary world."
"2889"	"3180"	"ko/smos, ou, o("	"the world, universe"	"the world, universe; worldly affairs; the inhabitants of the world; adornment."
"2890"	"3181"	"*kou/artos, ou, o("	"Quartus"	"Quartus, a Christian, brother of Erastus the Corinthian."
"2891"	"3182,3183"	"kou=mi"	"arise"	"(Aramaic) arise, stand up."
"2892"	"3184"	"koustwdi/a, as, h("	"a guard"	"a guard, watch."
"2893"	"3185"	"koufi/zw"	"I lighten"	"I lighten, make light."
"2894"	"3186"	"ko/finos, ou, o("	"a large basket"	"a large basket."
"2895"	"3187,3188"	"kra/battos, ou, o("	"a bed, mattress, mat"	"a bed, mattress, mat of a poor man."
"2896"	"3189"	"kra/zw"	"I cry aloud, shriek"	"I cry aloud, shriek."
"2897"	"3190"	"kraipa/lh, hs, h("	"drunken dissipation"	"drunken dissipation, surfeiting."
"2898"	"3191"	"krani/on, ou, to/"	"a skull"	"a skull."
"2899"	"3192"	"kra/spedon, ou, to/"	"the fringe, edge"	"the fringe, edge, corner, tassel."
"2900"	"3193"	"krataio/s, a/, o/n"	"strong, powerful"	"strong, powerful, mighty."
"2901"	"3194"	"krataio/w"	"I strengthen, confirm, grow strong"	"I strengthen, confirm; pass: I grow strong, become strong."
"2902"	"3195"	"krate/w"	"I lay hold of, obtain"	"I am strong, mighty, hence: I rule, am master, prevail; I obtain, take hold of; I hold, hold fast."
"2903"	"3196"	"kra/tistos, h, on"	"most excellent"	"most excellent, an official epithet, used in addressing a Roman of high rank, and in the second century one of equestrian (as distinguished from senatorial) rank."
"2904"	"3197"	"kra/tos, ous, to/"	"dominion, strength, power"	"dominion, strength, power; a mighty deed."
"2905"	"3198"	"krauga/zw"	"I cry aloud, shout"	"I cry aloud, shout, exclaim."
"2906"	"3199"	"kraugh/, h=s, h("	"a shout, clamor, outcry"	"(a) a shout, cry, clamor, (b) outcry, clamoring against another."
"2907"	"3200"	"kre/as, e/ws, to/"	"flesh, kinds of flesh"	"flesh; plur: pieces of flesh, kinds of flesh."
"2908"	"3201"	"krei/sswn, on"	"stronger, more excellent"	"stronger, more excellent."
"2909"	"3202"	"krei/ttwn, on"	"stronger, more excellent"	"stronger, more excellent."
"2910"	"3203"	"krema/nnumi"	"I hang up, suspend"	"I hang, hang up, suspend; mid: I am hanging, hang."
"2911"	"3204"	"krhmno/s, ou=, o("	"a crag, precipice"	"a crag, precipice, steep bank."
"2912"	"3205"	"*krh/s, hto/s, o("	"a Cretan"	"a Cretan, an inhabitant of Crete."
"2913"	"3206"	"*krh/skhs, kentos, o("	"Crescens"	"Crescens, a Christian, coadjutor of Paul."
"2914"	"3207"	"*krh/th, hs, h("	"Crete"	"Crete."
"2915"	"3208"	"kriqh/, h=s, h("	"barley"	"barley."
"2916"	"3209"	"kri/qinos, h, on"	"made of barley"	"made of barley."
"2917"	"3210"	"kri/ma, atos, to/"	"a judgment, verdict, lawsuit"	"(a) a judgment, a verdict; sometimes implying an adverse verdict, a condemnation, (b) a case at law, a lawsuit."
